  ,Name of Company,Holding Value in crores,Dec 2023,Sep 2023,Jun 2023,Mar 2023,Dec 2022,Sep 2022,Jun 2022,Mar 2022,Dec 2021
Vijay Kishanlal Kedia,Elecon Engineering Company Ltd.,164,1.5%,1.6%,1.8%,1.9%,1.9%,1.9%,1.9%,1.2%,1.2%
Vijay Kishanlal Kedia,Talbros Automotive Components Ltd.,17,1.0%,1.2%,1.2%,1.3%,1.3%,2.3%,2.3%,2.3%,2.3%
Vijay Kishanlal Kedia,Mahindra Holidays & Resorts India Ltd.,-,-,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%,1.0%
Vijay Kishanlal Kedia,Atul Auto Ltd.,312,20.9%,20.9%,14.9%,8.4%,1.5%,1.5%,1.5%,1.5%,1.5%
Vijay Kishanlal Kedia,Neuland Laboratories Ltd.,114,1.3%,1.3%,1.3%,1.2%,1.0%,1.0%,1.0%,1.0%,1.0%
Vijay Kishanlal Kedia,Om Infra Ltd.,31,2.6%,2.6%,-,-,-,-,-,-,-
Vijay Kishanlal Kedia,Patel Engineering Ltd.,89,1.7%,1.7%,1.7%,1.3%,-,-,-,-,-
Vijay Kishanlal Kedia,Repro India Ltd.,77,6.3%,6.4%,6.8%,7.1%,7.1%,7.1%,7.1%,7.1%,7.1%
Vijay Kishanlal Kedia,Siyaram Silk Mills Ltd.,25,1.1%,1.1%,1.1%,1.1%,1.1%,-,-,-,-
Vijay Kishanlal Kedia,Sudarshan Chemical Industries Ltd.,59,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%,1.4%
Vijay Kishanlal Kedia,Vaibhav Global Ltd.,145,2.0%,2.0%,2.0%,2.0%,2.0%,2.0%,2.0%,1.9%,1.9%
Vijay Kishanlal Kedia,Precision Camshafts Ltd.,24,1.2%,1.2%,1.2%,1.1%,-,-,-,-,-
Vijay Kishanlal Kedia,Tejas Networks Ltd.,243,1.9%,1.9%,2.0%,2.0%,2.3%,2.6%,2.6%,3.4%,3.4%
Vijay Kishanlal Kedia,Cera Sanitaryware Ltd.,-,-,-,-,-,-,1.0%,1.0%,1.0%,-
Vijay Kishanlal Kedia,Heritage Foods Ltd.,-,-,-,1.2%,1.2%,1.1%,1.1%,1.1%,1.1%,1.1%
Vijay Kishanlal Kedia,Ramco Systems Ltd.,-,-,-,-,1.1%,1.4%,1.6%,2.0%,2.4%,2.6%
Vijay Kishanlal Kedia,Panasonic Energy India Company Ltd.,-,-,-,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%
Vijay Kishanlal Kedia,Lykis Ltd.,-,-,-,-,-,-,2.7%,9.3%,9.3%,9.3%
Vijay Kishanlal Kedia,Innovators Facade Systems Ltd.,35,10.7%,10.7%,10.7%,10.7%,10.7%,10.7%,10.7%,10.7%,10.7%
Vijay Kishanlal Kedia,Affordable Robotic & Automation Ltd.,49,-,9.9%,-,13.4%,-,12.3%,-,14.2%,-
Ashish Dhawan,Dish TV India Ltd.,60,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%,1.6%
Ashish Dhawan,Glenmark Pharmaceuticals Ltd.,664,2.6%,2.6%,2.6%,2.6%,2.5%,1.8%,1.8%,1.8%,1.8%
Ashish Dhawan,AGI Greenpac Ltd.,277,4.8%,4.8%,4.8%,4.8%,4.8%,4.8%,4.8%,4.8%,1.5%
Ashish Dhawan,IDFC Ltd.,659,3.5%,3.5%,3.5%,3.5%,3.5%,3.5%,3.5%,3.5%,3.5%
Ashish Dhawan,Mahindra & Mahindra Financial Services Ltd.,420,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,1.2%,-
Ashish Dhawan,Religare Enterprises Ltd.,178,2.3%,2.3%,1.7%,-,-,-,-,-,-
Ashish Dhawan,Greenlam Industries Ltd.,254,3.8%,3.8%,3.8%,3.8%,3.8%,3.8%,4.0%,5.7%,5.7%
Ashish Dhawan,Palred Technologies Ltd.,11,5.5%,5.5%,5.5%,5.5%,5.5%,6.4%,7.0%,7.0%,7.0%
Ashish Dhawan,Quess Corp Ltd.,296,4.0%,4.0%,4.0%,4.0%,4.0%,2.6%,1.9%,1.9%,1.1%
Ashish Dhawan,RPSG Ventures Ltd.,89,4.2%,4.2%,4.2%,4.2%,4.2%,4.2%,4.6%,4.6%,4.7%
Ashish Dhawan,Arvind Fashions Ltd.,305,4.9%,4.9%,4.9%,4.9%,4.9%,4.9%,5.0%,5.0%,5.0%
Ashish Dhawan,Equitas Small Finance Bank Ltd.,408,3.6%,3.6%,3.6%,3.6%,-,-,-,-,-
Ashish Dhawan,Allcargo Logistics Ltd.,-,-,-,-,-,-,-,-,-,1.6%
